unit,lat,lon,year,count
Sierra National Forest,36.829829,-119.684965,1937,2
Cleveland National Forest,33.022118,-117.094959,1937,2
Marin County,37.87136,-122.513604,1937,3
Angeles National Forest,34.181417,-118.074422,1937,3
Plumas National Forest,39.937816,-120.94114,1937,6
Los Padres National Forest,34.768611,-120.061716,1937,2
San Bernardino National Forest,34.090473,-117.260245,1937,1
Mendocino National Forest,39.172201,-122.90607,1937,1
Tahoe National Forest,39.301182,-120.678146,1937,1
Sequoia National Forest,36.032162,-119.078781,1938,1
Lassen National Forest,40.20725,-120.90771,1938,5
Riverside CAL FIRE,33.496892,-117.1504,1938,2
Los Padres National Forest,34.768611,-120.061716,1938,1
Shasta-Trinity National Forest,40.520709,-122.301395,1938,5
Marin County,37.87136,-122.513604,1938,5
Los Angeles County,34.05513,-118.25703,1938,5
Modoc National Forest,41.339102,-121.147262,1938,4
Klamath National Forest,41.336017,-122.841974,1938,2
Plumas National Forest,39.937816,-120.94114,1938,1
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1938,1
Tulare County,36.210334,-119.335214,1938,1
Pinnacles National Park,36.499123,-121.116237,1938,1
Ventura County,34.27834,-119.29317,1938,3
Six Rivers National Forest,41.840065,-123.997312,1938,3
San Bernardino National Forest,34.090473,-117.260245,1938,1
Cleveland National Forest,33.022118,-117.094959,1938,15
Sierra National Forest,36.829829,-119.684965,1939,3
Six Rivers National Forest,41.840065,-123.997312,1939,6
Riverside CAL FIRE,33.496892,-117.1504,1939,1
Los Angeles County,34.05513,-118.25703,1939,6
Mendocino National Forest,39.172201,-122.90607,1939,9
Tahoe National Forest,39.301182,-120.678146,1939,4
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1939,6
Plumas National Forest,39.937816,-120.94114,1939,2
Los Padres National Forest,34.768611,-120.061716,1939,8
Eldorado National Forest,38.721085,-120.829644,1939,1
Shasta-Trinity National Forest,40.520709,-122.301395,1939,16
Cleveland National Forest,33.022118,-117.094959,1939,10
Sequoia - Kings Canyon NP,36.49042,-118.82488,1939,3
Modoc National Forest,41.339102,-121.147262,1939,5
Lassen National Forest,40.20725,-120.90771,1939,8
Ventura County,34.27834,-119.29317,1939,2
Klamath National Forest,41.336017,-122.841974,1939,8
Sonoma CDF (old),38.290522,-122.459658,1939,1
Sequoia National Forest,36.032162,-119.078781,1939,1
Ventura County,34.27834,-119.29317,1940,1
Tahoe National Forest,39.301182,-120.678146,1940,2
Shasta-Trinity National Forest,40.520709,-122.301395,1940,2
Plumas National Forest,39.937816,-120.94114,1940,2
Stanislaus National Forest,38.036256,-120.283203,1940,3
San Bernardino National Forest,34.090473,-117.260245,1940,5
Riverside CAL FIRE,33.496892,-117.1504,1940,2
Pinnacles National Park,36.499123,-121.116237,1940,2
