year,month,count
2006,11,3.0
2006,12,5.0
2007,1,2.0
2007,2,1.0
2007,3,5.0
2007,4,3.0
2007,5,12.0
2007,6,17.0
2007,7,33.0
2007,8,26.0
2007,9,14.0
2007,10,24.0
2007,11,2.0
2007,12,0.0
2008,1,0.0
2008,2,0.0
2008,3,1.0
2008,4,4.0
2008,5,6.0
2008,6,132.0
2008,7,30.0
2008,8,19.0
2008,9,10.0
2008,10,10.0
2008,11,3.0
2008,12,0.0
2009,1,2.0
2009,2,1.0
2009,3,0.0
2009,4,2.0
2009,5,11.0
2009,6,14.0
2009,7,20.0
2009,8,35.0
2009,9,12.0
2009,10,6.0
2009,11,2.0
2009,12,0.0
2010,1,1.0
2010,2,0.0
2010,3,0.0
2010,4,0.0
2010,5,7.0
2010,6,8.0
2010,7,28.0
2010,8,22.0
2010,9,8.0
2010,10,5.0
2010,11,0.0
2010,12,0.0
2011,1,0.0
2011,2,0.0
2011,3,2.0
2011,4,0.0
2011,5,14.0
2011,6,17.0
2011,7,18.0
2011,8,27.0
2011,9,45.0
2011,10,1.0
2011,11,0.0
2011,12,3.0
2012,1,0.0
2012,2,1.0
2012,3,0.0
2012,4,0.0
2012,5,5.0
2012,6,18.0
2012,7,26.0
2012,8,37.0
2012,9,12.0
2012,10,3.0
2012,11,2.0
2012,12,0.0
2013,1,1.0
2013,2,2.0
2013,3,0.0
2013,4,3.0
2013,5,20.0
2013,6,13.0
2013,7,14.0
2013,8,19.0
2013,9,8.0
2013,10,4.0
2013,11,4.0
2013,12,1.0
2014,1,6.0
2014,2,0.0
2014,3,3.0
2014,4,3.0
2014,5,10.0
2014,6,2.0
2014,7,26.0
2014,8,10.0
2014,9,11.0
2014,10,2.0
2014,11,0.0
2014,12,0.0
2015,1,0.0
2015,2,3.0
2015,3,0.0
2015,4,2.0
2015,5,0.0
2015,6,17.0
2015,7,58.0
2015,8,19.0
2015,9,8.0
2015,10,3.0
2015,11,0.0
2015,12,1.0
2016,1,0.0
2016,2,0.0
2016,3,0.0
2016,4,2.0
2016,5,8.0
2016,6,24.0
2016,7,20.0
2016,8,25.0
2016,9,16.0
2016,10,7.0
2016,11,0.0
2016,12,0.0
2017,1,0.0
2017,2,0.0
2017,3,0.0
2017,4,4.0
2017,5,7.0
2017,6,20.0
2017,7,52.0
2017,8,42.0
2017,9,28.0
2017,10,20.0
2017,11,1.0
2017,12,5.0
2018,1,0.0
2018,2,0.0
2018,3,0.0
2018,4,0.0
2018,5,1.0
2018,6,0.0
2018,7,0.0
2018,8,0.0
2018,9,0.0
2018,10,0.0
2018,11,0.0
2018,12,0.0
