unit,lat,lon,year,count,area_burned
Plumas National Forest,39.937816,-120.94114,1933,1,913.9423
Mendocino National Forest,39.172201,-122.90607,1933,3,10177.9863
San Bernardino National Forest,34.090473,-117.260245,1933,3,1233.0179
Stanislaus National Forest,38.036256,-120.283203,1933,5,995.5697
Sierra National Forest,36.829829,-119.684965,1933,2,3400.7344
Shasta-Trinity National Forest,40.520709,-122.301395,1934,16,8880.5396
Modoc National Forest,41.339102,-121.147262,1934,2,2031.7890000000002
Los Angeles County,34.05513,-118.25703,1934,1,3772.236
Tahoe National Forest,39.301182,-120.678146,1934,7,3153.5545
Plumas National Forest,39.937816,-120.94114,1934,7,13105.827199999998
Cleveland National Forest,33.022118,-117.094959,1934,7,15418.0469
Stanislaus National Forest,38.036256,-120.283203,1934,12,28546.2984
Sequoia - Kings Canyon NP,36.49042,-118.82488,1934,2,735.5981
Yosemite National Park,37.58395,-119.695053,1934,1,1692.822
Los Padres National Forest,34.768611,-120.061716,1934,3,944.7012
Klamath National Forest,41.336017,-122.841974,1934,10,3037.1683
Six Rivers National Forest,41.840065,-123.997312,1934,1,1319.878
Tulare County,36.210334,-119.335214,1934,1,1633.327
Mendocino National Forest,39.172201,-122.90607,1934,1,3978.086
Sierra National Forest,36.829829,-119.684965,1934,5,13097.9933
Sequoia National Forest,36.032162,-119.078781,1934,7,8713.685
Eldorado National Forest,38.721085,-120.829644,1934,2,763.5584
Shasta-Trinity National Forest,40.520709,-122.301395,1935,5,6718.5004
Sequoia National Forest,36.032162,-119.078781,1935,3,1592.1115
Cleveland National Forest,33.022118,-117.094959,1935,6,7833.4802
Pinnacles National Park,36.499123,-121.116237,1935,1,164.2539
Plumas National Forest,39.937816,-120.94114,1935,1,339.7011
Modoc National Forest,41.339102,-121.147262,1935,3,1229.6437
Sierra National Forest,36.829829,-119.684965,1935,1,431.5898
Klamath National Forest,41.336017,-122.841974,1935,3,3496.6387
Tahoe National Forest,39.301182,-120.678146,1935,4,779.7949
Los Padres National Forest,34.768611,-120.061716,1935,3,5424.4501
Ventura County,34.27834,-119.29317,1935,1,168.0329
Angeles National Forest,34.181417,-118.074422,1935,2,1294.3755999999998
San Bernardino National Forest,34.090473,-117.260245,1935,1,180.7891
Los Angeles County,34.05513,-118.25703,1935,5,33927.498700000004
Stanislaus National Forest,38.036256,-120.283203,1935,2,295.2951
Sequoia National Forest,36.032162,-119.078781,1936,1,1700.518
Stanislaus National Forest,38.036256,-120.283203,1936,6,6973.0574
Cleveland National Forest,33.022118,-117.094959,1936,3,1911.5411
Angeles National Forest,34.181417,-118.074422,1936,2,306.4825
Shasta-Trinity National Forest,40.520709,-122.301395,1936,2,1782.768
Modoc National Forest,41.339102,-121.147262,1936,5,23689.2035
